Annotation	lhs	op	rhs	Cov_Smooth	Z_smooth	Enrichment	Enrichment_SE	Enrichment_p_value	Error	Warning	target_parameter	est	SE	Fixed_Enrich	annotation_raw	annotation_key	annotation_basename	annotation_class	published_label	is_nonbase	alpha_168	alpha_155	Bonferroni_significant_168	Bonferroni_significant_155	Annotation_model_warning	Annotation_model_error	alpha_984	Bonferroni_significant_984	QC_warning_free	Bonferroni_significant_984_warning_free
H3K27ac_HniszL2	F_COMP	~~	SCZ_PGC	0.0025890897371035	0.526129781223725	1.40921248106254	0.222802710854294	0.0331301665370639	0.0	0	F_COMP~~SCZ_PGC				H3K27ac_HniszL2	H3K27ac_Hnisz	H3K27ac_HniszL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
H3K27ac_PGC2L2	F_COMP	~~	SCZ_PGC	0.001572840207382	0.438182427416718	1.80807834080269	0.269379893929279	0.0013509075606597	0.0	0	F_COMP~~SCZ_PGC				H3K27ac_PGC2L2	H3K27ac_PGC2	H3K27ac_PGC2L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
H3K4me1_peaks_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0046815868517883	0.755868946805573	2.29654263212373	0.5083151943853	0.0053758548470998	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				H3K4me1_peaks_TrynkaL2	H3K4me1_peaks_Trynka	H3K4me1_peaks_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
H3K4me1_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0038393373876836	0.634694022064577	1.63109041852963	0.256740622435625	0.0069839944519949	0.0	0	F_COMP~~SCZ_PGC				H3K4me1_TrynkaL2	H3K4me1_Trynka	H3K4me1_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
H3K4me3_peaks_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0018594257348432	0.690831278375265	1.66991550499523	1.07015021981534	0.265657020970744	0.0	"lavaan->lav_object_post_check():  
   covariance matrix of latent variables is not positive definite ; use 
   lavInspect(fit, ""cov.lv"") to investigate."	F_COMP~~SCZ_PGC				H3K4me3_peaks_TrynkaL2	H3K4me3_peaks_Trynka	H3K4me3_peaks_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
H3K4me3_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0032638616278994	0.93088162780643	2.12447060565721	0.437986450105919	0.0051237502347129	0.0	0	F_COMP~~SCZ_PGC				H3K4me3_TrynkaL2	H3K4me3_Trynka	H3K4me3_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
H3K9ac_peaks_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0037959926362376	1.46994586872298	4.66656208687563	1.22141229537385	0.0013414851797135	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				H3K9ac_peaks_TrynkaL2	H3K9ac_peaks_Trynka	H3K9ac_peaks_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
H3K9ac_TrynkaL2	F_COMP	~~	SCZ_PGC	0.0029960754371585	0.81368217138709	2.16772230574899	0.455590057422195	0.005187126890095	0.0	0	F_COMP~~SCZ_PGC				H3K9ac_TrynkaL2	H3K9ac_Trynka	H3K9ac_TrynkaL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Intron_UCSCL2	F_COMP	~~	SCZ_PGC	0.0025956693040877	0.532792747025948	1.39515325659891	0.21446984763648	0.0327035573499542	0.0	0	F_COMP~~SCZ_PGC				Intron_UCSCL2	Intron_UCSC	Intron_UCSCL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
PromoterFlanking_HoffmanL2	F_COMP	~~	SCZ_PGC	0.0011233910785044	1.01004509225563				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				PromoterFlanking_HoffmanL2	PromoterFlanking_Hoffman	PromoterFlanking_HoffmanL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Promoter_UCSCL2	F_COMP	~~	SCZ_PGC	0.0011094520639583	1.15195001492418	2.66478654090795	0.613787180391805	0.0033407144518302	0.0	0	F_COMP~~SCZ_PGC				Promoter_UCSCL2	Promoter_UCSC	Promoter_UCSCL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Repressed_HoffmanL2	F_COMP	~~	SCZ_PGC	0.0004673297802173	0.503045785776127	0.896956007557158	0.137209454071355	0.773672997591699	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				Repressed_HoffmanL2	Repressed_Hoffman	Repressed_HoffmanL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
SuperEnhancer_HniszL2	F_COMP	~~	SCZ_PGC	0.0012294782201081	0.499863024109891	1.51786343140735	0.261558844415403	0.0238567225002435	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				SuperEnhancer_HniszL2	SuperEnhancer_Hnisz	SuperEnhancer_HniszL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
TFBS_ENCODEL2	F_COMP	~~	SCZ_PGC	0.0025358215358161	0.797809639974368	2.81395947765443	0.535099486697531	0.0003495293100115	0.0	0	F_COMP~~SCZ_PGC				TFBS_ENCODEL2	TFBS_ENCODE	TFBS_ENCODEL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Transcr_HoffmanL2	F_COMP	~~	SCZ_PGC	0.0036231066842596	0.895862578496535	0.815368494944129	0.228064837330782	0.790902609499094	0.0	0	F_COMP~~SCZ_PGC				Transcr_HoffmanL2	Transcr_Hoffman	Transcr_HoffmanL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
TSS_HoffmanL2	F_COMP	~~	SCZ_PGC	0.0007180745333636	1.47145927695137	4.29339118901432	1.31766877755207	0.0062200590199178	0.0	0	F_COMP~~SCZ_PGC				TSS_HoffmanL2	TSS_Hoffman	TSS_HoffmanL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
UTR_3_UCSCL2	F_COMP	~~	SCZ_PGC	0.001549689621306	1.27024450017337	5.10605856345633	2.02315274536501	0.0212019326116919	0.0	"lavaan->lav_object_post_check():  
   covariance matrix of latent variables is not positive definite ; use 
   lavInspect(fit, ""cov.lv"") to investigate."	F_COMP~~SCZ_PGC				UTR_3_UCSCL2	UTR_3_UCSC	UTR_3_UCSCL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
UTR_5_UCSCL2	F_COMP	~~	SCZ_PGC	0.0011173701728838	1.96657381950921				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				UTR_5_UCSCL2	UTR_5_UCSC	UTR_5_UCSCL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
WeakEnhancer_HoffmanL2	F_COMP	~~	SCZ_PGC	0.002618274041366	1.82910160206737	2.51726424664902	1.63260222234286	0.176353013220345	0.0	"lavaan->lav_object_post_check():  
   covariance matrix of latent variables is not positive definite ; use 
   lavInspect(fit, ""cov.lv"") to investigate."	F_COMP~~SCZ_PGC				WeakEnhancer_HoffmanL2	WeakEnhancer_Hoffman	WeakEnhancer_HoffmanL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
GERP.RSsup4L2	F_COMP	~~	SCZ_PGC	0.0003877569119313	0.543969559960348	10.1914925732043	4.15165616603565	0.013416661121135	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				GERP.RSsup4L2	GERP.RSsup4	GERP.RSsup4L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin1L2	F_COMP	~~	SCZ_PGC	0.0006863383183459	1.11772319176985				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				MAFbin1L2	MAFbin1	MAFbin1L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin2L2	F_COMP	~~	SCZ_PGC	0.000485331559693	0.636209922771691	0.594829212101713	0.128207634569211	0.999211885995523	0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer (NLMINB) claimed the model converged, but not all elements 
   of the gradient are (near) zero; the optimizer may not have found a local 
   solution use check.gradient = FALSE to skip this check."	F_COMP~~SCZ_PGC				MAFbin2L2	MAFbin2	MAFbin2L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin3L2	F_COMP	~~	SCZ_PGC	0.0015869610761194	1.96497687169843	0.619735343886673	0.153049450813108	0.993514907095654	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				MAFbin3L2	MAFbin3	MAFbin3L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin4L2	F_COMP	~~	SCZ_PGC	0.0004725631003971	0.662121827380395	0.873324260565514	0.190260611730177	0.747230904110314	0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer (NLMINB) claimed the model converged, but not all elements 
   of the gradient are (near) zero; the optimizer may not have found a local 
   solution use check.gradient = FALSE to skip this check."	F_COMP~~SCZ_PGC				MAFbin4L2	MAFbin4	MAFbin4L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin5L2	F_COMP	~~	SCZ_PGC	0.0002209457335289	0.574463842787965				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				MAFbin5L2	MAFbin5	MAFbin5L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin6L2	F_COMP	~~	SCZ_PGC	0.0004555057663532	0.385666922344159				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				MAFbin6L2	MAFbin6	MAFbin6L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin7L2	F_COMP	~~	SCZ_PGC	0.0009669896329175	0.927371376789053	0.974914692507627	0.224946041801972	0.544396806742152	0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer (NLMINB) claimed the model converged, but not all elements 
   of the gradient are (near) zero; the optimizer may not have found a local 
   solution use check.gradient = FALSE to skip this check."	F_COMP~~SCZ_PGC				MAFbin7L2	MAFbin7	MAFbin7L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin8L2	F_COMP	~~	SCZ_PGC	0.0001192786812402	0.303235534581447	1.20822068983512	0.246631962203526	0.199262984533767	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				MAFbin8L2	MAFbin8	MAFbin8L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin9L2	F_COMP	~~	SCZ_PGC	0.000405947985995	0.493011158906194	1.66404950599823	0.259570027641111	0.0052597603587707	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				MAFbin9L2	MAFbin9	MAFbin9L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
MAFbin10L2	F_COMP	~~	SCZ_PGC	0.0011500562259995	0.894354986160682	1.34049525290016	0.232675367705976	0.0716800842792229	0.0	0	F_COMP~~SCZ_PGC				MAFbin10L2	MAFbin10	MAFbin10L2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
synonymousL2	F_COMP	~~	SCZ_PGC	0.0023042794132926	1.53381400287379	-16.5683981595387	8.67693860892588	0.978552098084135	0.0	0	F_COMP~~SCZ_PGC				synonymousL2	synonymous	synonymousL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
non_synonymousL2	F_COMP	~~	SCZ_PGC	0.0038603365209715	1.9326560131179				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				non_synonymousL2	non_synonymous	non_synonymousL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Conserved_Vertebrate_phastCons46wayL2	F_COMP	~~	SCZ_PGC	0.0025618430720753	1.21851881667094	2.96802265645817	1.77470192475442	0.133729892469915	0.0	0	F_COMP~~SCZ_PGC				Conserved_Vertebrate_phastCons46wayL2	Conserved_Vertebrate_phastCons46way	Conserved_Vertebrate_phastCons46wayL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Conserved_Mammal_phastCons46wayL2	F_COMP	~~	SCZ_PGC	0.0015906496611494	0.959379974568477	4.59586347962057	2.6135234998532	0.0844312443453656	0.0	0	F_COMP~~SCZ_PGC				Conserved_Mammal_phastCons46wayL2	Conserved_Mammal_phastCons46way	Conserved_Mammal_phastCons46wayL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Conserved_Primate_phastCons46wayL2	F_COMP	~~	SCZ_PGC	0.0018023522184431	0.915056725092975	8.25672161274122	2.84196997129349	0.0053336540771937	0.0	0	F_COMP~~SCZ_PGC				Conserved_Primate_phastCons46wayL2	Conserved_Primate_phastCons46way	Conserved_Primate_phastCons46wayL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
BivFlnkL2	F_COMP	~~	SCZ_PGC	0.0005076276028514	1.34649825530455				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				BivFlnkL2	BivFlnk	BivFlnkL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Human_Promoter_VillarL2	F_COMP	~~	SCZ_PGC	0.0016131632585104	1.12223328815639				0.0	"lavaan->lav_lavaan_step11_estoptim():  
   the optimizer warns that a solution has NOT been found!"	F_COMP~~SCZ_PGC				Human_Promoter_VillarL2	Human_Promoter_Villar	Human_Promoter_VillarL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Human_Enhancer_VillarL2	F_COMP	~~	SCZ_PGC	0.0015638517882161	1.14148531695399	1.78483397158092	0.585922131580669	0.0902063991167175	0.0	"lavaan->lav_object_post_check():  
   covariance matrix of latent variables is not positive definite ; use 
   lavInspect(fit, ""cov.lv"") to investigate."	F_COMP~~SCZ_PGC				Human_Enhancer_VillarL2	Human_Enhancer_Villar	Human_Enhancer_VillarL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Ancient_Sequence_Age_Human_PromoterL2	F_COMP	~~	SCZ_PGC	0.0003287332591455	1.37555605766172	14.4386872679012	3.82857391990902	0.0002239669098169	0.0	0	F_COMP~~SCZ_PGC				Ancient_Sequence_Age_Human_PromoterL2	Ancient_Sequence_Age_Human_Promoter	Ancient_Sequence_Age_Human_PromoterL2	baseline		True	0.000297619047619	0.0003225806451612	True	True	False	False	5.08130081300813e-05	False	True	False
Ancient_Sequence_Age_Human_EnhancerL2	F_COMP	~~	SCZ_PGC	0.003504797560559	1.65792602715136	6.12656910782607	3.85416285545051	0.0917363764930242	0.0	"lavaan->lav_object_post_check():  
   covariance matrix of latent variables is not positive definite ; use 
   lavInspect(fit, ""cov.lv"") to investigate."	F_COMP~~SCZ_PGC				Ancient_Sequence_Age_Human_EnhancerL2	Ancient_Sequence_Age_Human_Enhancer	Ancient_Sequence_Age_Human_EnhancerL2	baseline		True	0.000297619047619	0.0003225806451612	False	False	True	False	5.08130081300813e-05	False	False	False
Human_Promoter_Villar_ExACL2	F_COMP	~~	SCZ_PGC	0.0006255098946711	1.20271764783047	19.3585154620236	3.50523942335082	8.14052889369274e-08	0.0	"lavaan->lav_object_post_check():  
   some estimated ov variances are negative"	F_COMP~~SCZ_PGC				Human_Promoter_Villar_ExACL2	Human_Promoter_Villar_ExAC	Human_Promoter_Villar_ExACL2	baseline		True	0.000297619047619	0.0003225806451612	True	True	True	False	5.08130081300813e-05	True	False	False
Franke.13.	F_COMP	~~	SCZ_PGC	0.002698278221521	0.952680890491444	1.77957049621811	0.277284338364943	0.0024659531648167	0.0	0	F_COMP~~SCZ_PGC				Franke.13.	Franke.13.	Franke.13.	expression	Brain Stem	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Franke.14.	F_COMP	~~	SCZ_PGC	0.0027654529600308	0.840589401545504	1.81538505137113	0.277625250116086	0.0016570264509333	0.0	0	F_COMP~~SCZ_PGC				Franke.14.	Franke.14.	Franke.14.	expression	Whole Brain	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Franke.31.	F_COMP	~~	SCZ_PGC	0.0014396331109608	0.84699715722659	1.32539873833289	0.262912253025058	0.107919131830791	0.0	0	F_COMP~~SCZ_PGC				Franke.31.	Franke.31.	Franke.31.	expression	Epidermis	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Franke.39.	F_COMP	~~	SCZ_PGC	0.0015340809308177	0.778565913260909	1.37809566583666	0.245643731622567	0.0618773244530009	0.0	0	F_COMP~~SCZ_PGC				Franke.39.	Franke.39.	Franke.39.	expression	Fibroblasts	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Franke.30.	F_COMP	~~	SCZ_PGC	0.0016124704954196	0.909716018954783	1.31170317086055	0.281967494430478	0.134480631505107	0.0	0	F_COMP~~SCZ_PGC				Franke.30.	Franke.30.	Franke.30.	expression	Epithelial Cells	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
Franke.147.	F_COMP	~~	SCZ_PGC	0.0013390571650117	0.754361140761138	1.29847228933966	0.250856842923585	0.117060296967313	0.0	0	F_COMP~~SCZ_PGC				Franke.147.	Franke.147.	Franke.147.	expression	Embryoid Bodies	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.1.	F_COMP	~~	SCZ_PGC	0.0017518557345808	0.68759234439361	1.22089497808579	0.237699151574721	0.176365557209127	0.0	0	F_COMP~~SCZ_PGC				GTEx.1.	GTEx.1.	GTEx.1.	expression	Adipose Subcutaneous	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.8.	F_COMP	~~	SCZ_PGC	0.0030124860906177	0.899276672893501	1.60558046992374	0.250420884604052	0.0077976647916307	0.0	0	F_COMP~~SCZ_PGC				GTEx.8.	GTEx.8.	GTEx.8.	expression	Amygdala	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.9.	F_COMP	~~	SCZ_PGC	0.002846819584011	0.819752052453827	1.68002296851151	0.259173247672106	0.0043475345425538	0.0	0	F_COMP~~SCZ_PGC				GTEx.9.	GTEx.9.	GTEx.9.	expression	Cingulate Cortex	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.10.	F_COMP	~~	SCZ_PGC	0.0028020659933439	0.875552399446259	1.58023734557681	0.252014287522287	0.0106563516154967	0.0	0	F_COMP~~SCZ_PGC				GTEx.10.	GTEx.10.	GTEx.10.	expression	Caudate	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.11.	F_COMP	~~	SCZ_PGC	0.0020842071487621	0.688609545645212	1.70265713354458	0.267572349530046	0.0043191649353423	0.0	0	F_COMP~~SCZ_PGC				GTEx.11.	GTEx.11.	GTEx.11.	expression	Cerebellar Hemispher	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.12.	F_COMP	~~	SCZ_PGC	0.0021794827237458	0.735868137761171	1.6576075225657	0.269079362312451	0.0072643921738531	0.0	0	F_COMP~~SCZ_PGC				GTEx.12.	GTEx.12.	GTEx.12.	expression	Cerebellum	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.13.	F_COMP	~~	SCZ_PGC	0.0028529091756667	0.831176902768933	1.68373957880684	0.259436387536063	0.00420091082319	0.0	0	F_COMP~~SCZ_PGC				GTEx.13.	GTEx.13.	GTEx.13.	expression	Cortex	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.14.	F_COMP	~~	SCZ_PGC	0.0028145240773693	0.804367128549323	1.70503067782651	0.259063934109829	0.0032497677847682	0.0	0	F_COMP~~SCZ_PGC				GTEx.14.	GTEx.14.	GTEx.14.	expression	Frontal Cortex	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.15.	F_COMP	~~	SCZ_PGC	0.0031818628957004	0.931993544257991	1.62398078399844	0.252697317262785	0.00676923550227	0.0	0	F_COMP~~SCZ_PGC				GTEx.15.	GTEx.15.	GTEx.15.	expression	Hippocampus	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.16.	F_COMP	~~	SCZ_PGC	0.0031248172578347	0.959204345766229	1.55357648628299	0.244494377340003	0.011781874245178	0.0	0	F_COMP~~SCZ_PGC				GTEx.16.	GTEx.16.	GTEx.16.	expression	Hypothalamus	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.17.	F_COMP	~~	SCZ_PGC	0.0026054745120465	0.801342107508905	1.59907527953105	0.251211465370044	0.0085454823399236	0.0	0	F_COMP~~SCZ_PGC				GTEx.17.	GTEx.17.	GTEx.17.	expression	Nucleus Accumbens	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.18.	F_COMP	~~	SCZ_PGC	0.0028866968584298	0.898246883542066	1.60013222188054	0.249669237850283	0.0081148409209766	0.0	0	F_COMP~~SCZ_PGC				GTEx.18.	GTEx.18.	GTEx.18.	expression	Putamen	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
GTEx.19.	F_COMP	~~	SCZ_PGC	0.0035909161874511	1.1918722570638	1.50146721636532	0.250299104563087	0.0225633317271928	0.0	0	F_COMP~~SCZ_PGC				GTEx.19.	GTEx.19.	GTEx.19.	expression	Spinal Cord	True	0.000297619047619	0.0003225806451612	False	False	False	False	5.08130081300813e-05	False	True	False
